72 1573564138 0,113332 0,200000 0,113332 0,113332 0,002569
72 1573564137 0,113332 0,200000 0,113332 0,113332 0,002569
72 1573564136 0,113332 0,200000 0,113332 0,113332 0,002569
72 1573564135 0,113332 0,200000 0,113332 0,113332 0,002569
72 1573564134 0,113332 0,200000 0,113332 0,113332 0,002569
36 1573564093 0,087163 0,200000 0,087163 0,087163 0,001519
36 1573564092 0,087163 0,200000 0,087163 0,087163 0,001519
36 1573564091 0,087163 0,200000 0,087163 0,087163 0,001519
36 1573564090 0,087163 0,200000 0,087163 0,087163 0,001519
36 1573564089 0,087163 0,200000 0,087163 0,087163 0,001519
75 1573564138 13,870825 0,200000 13,870825 13,870825 38,479955
75 1573564137 13,870825 0,200000 13,870825 13,870825 38,479955
75 1573564136 13,870825 0,200000 13,870825 13,870825 38,479955
75 1573564135 13,870825 0,200000 13,870825 13,870825 38,479955
75 1573564134 13,870825 0,200000 13,870825 13,870825 38,479955
56 1573564128 10,214330 0,200000 10,214330 10,214330 20,866508
56 1573564127 10,214330 0,200000 10,214330 10,214330 20,866508
56 1573564126 10,214330 0,200000 10,214330 10,214330 20,866508
56 1573564125 10,214330 0,200000 10,214330 10,214330 20,866508
56 1573564124 10,214330 0,200000 10,214330 10,214330 20,866508
56 1573564118 9,600087 0,200000 9,600087 9,600087 18,432334
56 1573564117 9,600087 0,200000 9,600087 9,600087 18,432334
56 1573564116 9,600087 0,200000 9,600087 9,600087 18,432334
56 1573564115 9,600087 0,200000 9,600087 9,600087 18,432334
56 1573564114 9,600087 0,200000 9,600087 9,600087 18,432334
56 1573564108 10,957256 0,200000 10,957256 10,957256 24,012292
56 1573564107 10,957256 0,200000 10,957256 10,957256 24,012292
56 1573564106 10,957256 0,200000 10,957256 10,957256 24,012292
56 1573564105 10,957256 0,200000 10,957256 10,957256 24,012292
56 1573564104 10,957256 0,200000 10,957256 10,957256 24,012292
59 1573564128 0,051812 0,200000 0,051812 0,051812 0,000537
59 1573564127 0,051812 0,200000 0,051812 0,051812 0,000537
59 1573564126 0,051812 0,200000 0,051812 0,051812 0,000537
59 1573564125 0,051812 0,200000 0,051812 0,051812 0,000537
59 1573564124 0,051812 0,200000 0,051812 0,051812 0,000537
59 1573564118 0,054146 0,200000 0,054146 0,054146 0,000586
59 1573564117 0,054146 0,200000 0,054146 0,054146 0,000586
59 1573564116 0,054146 0,200000 0,054146 0,054146 0,000586
59 1573564115 0,054146 0,200000 0,054146 0,054146 0,000586
59 1573564114 0,054146 0,200000 0,054146 0,054146 0,000586
59 1573564108 0,045813 0,200000 0,045813 0,045813 0,000420
59 1573564107 0,045813 0,200000 0,045813 0,045813 0,000420
59 1573564106 0,045813 0,200000 0,045813 0,045813 0,000420
59 1573564105 0,045813 0,200000 0,045813 0,045813 0,000420
59 1573564104 0,045813 0,200000 0,045813 0,045813 0,000420
63 1573564128 0,043615 0,200000 0,043615 0,043615 0,000380
63 1573564127 0,043615 0,200000 0,043615 0,043615 0,000380
63 1573564126 0,043615 0,200000 0,043615 0,043615 0,000380
63 1573564125 0,043615 0,200000 0,043615 0,043615 0,000380
63 1573564124 0,043615 0,200000 0,043615 0,043615 0,000380
33 1573564093 4,073115 0,200000 4,073115 4,073115 3,318054
33 1573564092 4,073115 0,200000 4,073115 4,073115 3,318054
33 1573564091 4,073115 0,200000 4,073115 4,073115 3,318054
33 1573564090 4,073115 0,200000 4,073115 4,073115 3,318054
33 1573564089 4,073115 0,200000 4,073115 4,073115 3,318054
66 1573564138 0,067569 0,200000 0,067569 0,067569 0,000913
66 1573564137 0,067569 0,200000 0,067569 0,067569 0,000913
66 1573564136 0,067569 0,200000 0,067569 0,067569 0,000913
66 1573564135 0,067569 0,200000 0,067569 0,067569 0,000913
66 1573564134 0,067569 0,200000 0,067569 0,067569 0,000913
78 1573564133 4,933435 0,200000 4,933435 4,933435 4,867757
78 1573564132 4,933435 0,200000 4,933435 4,933435 4,867757
78 1573564131 4,933435 0,200000 4,933435 4,933435 4,867757
78 1573564130 4,933435 0,200000 4,933435 4,933435 4,867757
78 1573564129 4,933435 0,200000 4,933435 4,933435 4,867757
69 1573564138 0,067441 0,200000 0,067441 0,067441 0,000910
69 1573564137 0,067441 0,200000 0,067441 0,067441 0,000910
69 1573564136 0,067441 0,200000 0,067441 0,067441 0,000910
69 1573564135 0,067441 0,200000 0,067441 0,067441 0,000910
69 1573564134 0,067441 0,200000 0,067441 0,067441 0,000910
51 1573564123 0,079441 0,200000 0,079441 0,079441 0,001262
51 1573564122 0,079441 0,200000 0,079441 0,079441 0,001262
51 1573564121 0,079441 0,200000 0,079441 0,079441 0,001262
51 1573564120 0,079441 0,200000 0,079441 0,079441 0,001262
51 1573564119 0,079441 0,200000 0,079441 0,079441 0,001262
51 1573564108 0,078539 0,200000 0,078539 0,078539 0,001234
51 1573564107 0,078539 0,200000 0,078539 0,078539 0,001234
51 1573564106 0,078539 0,200000 0,078539 0,078539 0,001234
51 1573564105 0,078539 0,200000 0,078539 0,078539 0,001234
51 1573564104 0,078539 0,200000 0,078539 0,078539 0,001234
51 1573564103 0,097553 0,200000 0,097553 0,097553 0,001903
51 1573564102 0,097553 0,200000 0,097553 0,097553 0,001903
51 1573564101 0,097553 0,200000 0,097553 0,097553 0,001903
51 1573564100 0,097553 0,200000 0,097553 0,097553 0,001903
51 1573564099 0,097553 0,200000 0,097553 0,097553 0,001903
