48 1573564138 -2,000000 0,200000 0,000000 0,000000 2040,232000
48 1573564137 -2,000000 0,200000 0,400000 0,400000 2040,232000
48 1573564136 -2,000000 0,200000 0,800000 0,800000 2040,232000
48 1573564135 -2,000000 0,200000 1,200000 1,200000 2040,232000
48 1573564134 -2,000000 0,200000 1,600000 1,600000 2040,232000
48 1573564133 -1,000000 0,200000 2,000000 2,000000 2040,208000
48 1573564132 -1,000000 0,200000 2,200000 2,200000 2040,208000
48 1573564131 -1,000000 0,200000 2,400000 2,400000 2040,208000
48 1573564130 -1,000000 0,200000 2,600000 2,600000 2040,208000
48 1573564129 -1,000000 0,200000 2,800000 2,800000 2040,208000
48 1573564128 2,000000 0,200000 3,000000 3,000000 2040,232000
48 1573564127 2,000000 0,200000 2,600000 2,600000 2040,232000
48 1573564126 2,000000 0,200000 2,200000 2,200000 2040,232000
48 1573564125 2,000000 0,200000 1,800000 1,800000 2040,232000
48 1573564124 2,000000 0,200000 1,400000 1,400000 2040,232000
48 1573564123 -2,000000 0,200000 1,000000 1,000000 2040,232000
48 1573564122 -2,000000 0,200000 1,400000 1,400000 2040,232000
48 1573564121 -2,000000 0,200000 1,800000 1,800000 2040,232000
48 1573564120 -2,000000 0,200000 2,200000 2,200000 2040,232000
48 1573564119 -2,000000 0,200000 2,600000 2,600000 2040,232000
48 1573564118 0,000000 0,200000 3,000000 3,000000 2040,200000
48 1573564117 0,000000 0,200000 3,000000 3,000000 2040,200000
48 1573564116 0,000000 0,200000 3,000000 3,000000 2040,200000
48 1573564115 0,000000 0,200000 3,000000 3,000000 2040,200000
48 1573564114 0,000000 0,200000 3,000000 3,000000 2040,200000
48 1573564113 -1,000000 0,200000 3,000000 3,000000 2040,208000
48 1573564112 -1,000000 0,200000 3,200000 3,200000 2040,208000
48 1573564111 -1,000000 0,200000 3,400000 3,400000 2040,208000
48 1573564110 -1,000000 0,200000 3,600000 3,600000 2040,208000
48 1573564109 -1,000000 0,200000 3,800000 3,800000 2040,208000
48 1573564108 -2,000000 0,200000 4,000000 4,000000 2040,232000
48 1573564107 -2,000000 0,200000 4,400000 4,400000 2040,232000
48 1573564106 -2,000000 0,200000 4,800000 4,800000 2040,232000
48 1573564105 -2,000000 0,200000 5,200000 5,200000 2040,232000
48 1573564104 -2,000000 0,200000 5,600000 5,600000 2040,232000
48 1573564103 0,000000 0,200000 6,000000 6,000000 2040,200000
48 1573564102 0,000000 0,200000 6,000000 6,000000 2040,200000
48 1573564101 0,000000 0,200000 6,000000 6,000000 2040,200000
48 1573564100 0,000000 0,200000 6,000000 6,000000 2040,200000
48 1573564099 0,000000 0,200000 6,000000 6,000000 2040,200000
48 1573564098 6,000000 0,200000 6,000000 6,000000 2040,488000
48 1573564097 6,000000 0,200000 4,800000 4,800000 2040,488000
48 1573564096 6,000000 0,200000 3,600000 3,600000 2040,488000
48 1573564095 6,000000 0,200000 2,400000 2,400000 2040,488000
48 1573564094 6,000000 0,200000 1,200000 1,200000 2040,488000
48 1573564093 0,000000 0,200000 -101,000000 0,000000 0,000000
48 1573564092 0,000000 0,200000 -101,000000 0,000000 0,000000
48 1573564091 0,000000 0,200000 -101,000000 0,000000 0,000000
48 1573564090 0,000000 0,200000 -101,000000 0,000000 0,000000
