109 1573564188 0,000000 0,000000 -101,000000 0,000000 0,000000
109 1573564189 0,000000 0,000000 -101,000000 0,000000 0,000000
109 1573564190 0,000000 0,000000 -101,000000 0,000000 0,000000
109 1573564191 0,000000 0,000000 -101,000000 0,000000 0,000000
109 1573564192 6,000000 0,200000 1,200000 1,200000 -20,200000
109 1573564193 6,000000 0,200000 2,400000 2,400000 -20,200000
109 1573564194 6,000000 0,200000 3,600000 3,600000 -20,200000
109 1573564195 6,000000 0,200000 4,800000 4,800000 -20,200000
109 1573564196 6,000000 0,200000 6,000000 6,000000 -20,200000
109 1573564197 0,000000 0,200000 6,000000 6,000000 -20,200000
109 1573564198 0,000000 0,200000 6,000000 6,000000 -20,200000
109 1573564199 0,000000 0,200000 6,000000 6,000000 -20,200000
109 1573564200 0,000000 0,200000 6,000000 6,000000 -20,200000
109 1573564201 0,000000 0,200000 6,000000 6,000000 -20,200000
109 1573564202 -1,500000 0,400000 5,400000 5,400000 -20,200000
109 1573564203 -1,500000 0,400000 4,800000 4,800000 -20,200000
109 1573564204 -1,500000 0,400000 4,200000 4,200000 -20,200000
109 1573564205 -1,500000 0,400000 3,600000 3,600000 -20,200000
109 1573564206 -1,500000 0,400000 3,000000 3,000000 -20,200000
109 1573564207 0,000000 0,400000 3,000000 3,000000 -20,200000
109 1573564208 0,000000 0,400000 3,000000 3,000000 -20,200000
109 1573564209 0,000000 0,400000 3,000000 3,000000 -20,200000
109 1573564210 0,000000 0,400000 3,000000 3,000000 -20,200000
109 1573564211 0,000000 0,400000 3,000000 3,000000 -20,200000
109 1573564212 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564213 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564214 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564215 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564216 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564217 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564218 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564219 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564220 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564221 0,000000 0,600000 3,000000 3,000000 -20,200000
109 1573564222 1,000000 0,800000 3,800000 3,800000 -20,200000
109 1573564223 1,000000 0,800000 4,600000 4,600000 -20,200000
109 1573564224 1,000000 0,800000 5,400000 5,400000 -20,200000
109 1573564225 1,000000 0,800000 6,200000 6,200000 -20,200000
109 1573564226 1,000000 0,800000 7,000000 7,000000 -20,200000
109 1573564227 0,166667 1,200000 7,200000 7,200000 -20,200000
109 1573564228 0,166667 1,200000 7,400000 7,400000 -20,200000
109 1573564229 0,166667 1,200000 7,600000 7,600000 -20,200000
109 1573564230 0,166667 1,200000 7,800000 7,800000 -20,200000
109 1573564231 0,166667 1,200000 8,000000 8,000000 -20,200000
109 1573564232 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564233 -0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564234 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564235 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564236 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564237 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564238 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564239 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564240 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564241 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564242 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564243 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564244 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564245 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564246 0,000000 1,600000 8,000000 8,000000 -20,200000
109 1573564247 0,000000 1,800000 8,000000 8,000000 -20,200000
109 1573564248 0,000000 1,800000 8,000000 8,000000 -20,200000
109 1573564249 0,000000 1,800000 8,000000 8,000000 -20,200000
109 1573564250 0,000000 1,800000 8,000000 8,000000 -20,200000
109 1573564251 0,000000 1,800000 8,000000 8,000000 -20,200000
109 1573564252 0,363636 2,200000 8,800000 8,800000 -20,200000
109 1573564253 0,363636 2,200000 9,600000 9,600000 -20,200000
109 1573564254 0,363636 2,200000 10,400000 10,400000 -20,200000
109 1573564255 0,363636 2,200000 11,200000 11,200000 -20,200000
109 1573564256 0,363636 2,200000 12,000000 12,000000 -20,200000
109 1573564257 -0,166667 2,400000 11,600000 11,600000 -20,200000
109 1573564258 -0,166667 2,400000 11,200000 11,200000 -20,200000
109 1573564259 -0,166667 2,400000 10,800000 10,800000 -20,200000
109 1573564260 -0,166667 2,400000 10,400000 10,400000 -20,200000
109 1573564261 -0,166667 2,400000 10,000000 10,000000 -20,200000
109 1573564262 0,133333 3,000000 10,400000 10,400000 -20,200000
109 1573564263 0,133333 3,000000 10,800000 10,800000 -20,200000
109 1573564264 0,133333 3,000000 11,200000 11,200000 -20,200000
109 1573564265 0,133333 3,000000 11,600000 11,600000 -20,200000
109 1573564266 0,133333 3,000000 12,000000 12,000000 -20,200000
109 1573564267 0,000000 3,000000 12,000000 12,000000 -20,200000
109 1573564268 0,000000 3,000000 12,000000 12,000000 -20,200000
109 1573564269 0,000000 3,000000 12,000000 12,000000 -20,200000
109 1573564270 0,000000 3,000000 12,000000 12,000000 -20,200000
109 1573564271 0,000000 3,000000 12,000000 12,000000 -20,200000
109 1573564272 -0,125000 3,200000 11,600000 11,600000 -20,200000
109 1573564273 -0,125000 3,200000 11,200000 11,200000 -20,200000
109 1573564274 -0,125000 3,200000 10,800000 10,800000 -20,200000
109 1573564275 -0,125000 3,200000 10,400000 10,400000 -20,200000
109 1573564276 -0,125000 3,200000 10,000000 10,000000 -20,200000
109 1573564277 0,000000 3,600000 10,000000 10,000000 -20,200000
109 1573564278 0,000000 3,600000 10,000000 10,000000 -20,200000
109 1573564279 0,000000 3,600000 10,000000 10,000000 -20,200000
109 1573564280 0,000000 3,600000 10,000000 10,000000 -20,200000
109 1573564281 0,000000 3,600000 10,000000 10,000000 -20,200000
109 1573564282 0,210526 3,800000 10,800000 10,800000 -20,200000
109 1573564283 0,210526 3,800000 11,600000 11,600000 -20,200000
109 1573564284 0,210526 3,800000 12,400000 12,400000 -20,200000
109 1573564285 0,210526 3,800000 13,200000 13,200000 -20,200000
109 1573564286 0,210526 3,800000 14,000000 14,000000 -20,200000
