91 1573564192 4,353062 0,200000 4,353062 4,353062 3,789830
97 1573564192 0,112932 0,200000 0,112932 0,112932 0,002551
94 1573564192 0,083498 0,200000 0,083498 0,083498 0,001394
91 1573564193 4,353062 0,200000 4,353062 4,353062 3,789830
97 1573564193 0,112932 0,200000 0,112932 0,112932 0,002551
94 1573564193 0,083498 0,200000 0,083498 0,083498 0,001394
91 1573564194 4,353062 0,200000 4,353062 4,353062 3,789830
97 1573564194 0,112932 0,200000 0,112932 0,112932 0,002551
94 1573564194 0,083498 0,200000 0,083498 0,083498 0,001394
91 1573564195 4,353062 0,200000 4,353062 4,353062 3,789830
97 1573564195 0,112932 0,200000 0,112932 0,112932 0,002551
94 1573564195 0,083498 0,200000 0,083498 0,083498 0,001394
91 1573564196 4,353062 0,200000 4,353062 4,353062 3,789830
97 1573564196 0,112932 0,200000 0,112932 0,112932 0,002551
94 1573564196 0,083498 0,200000 0,083498 0,083498 0,001394
112 1573564197 8,991738 0,200000 8,991738 8,991738 16,170271
115 1573564197 0,043225 0,200000 0,043225 0,043225 0,000374
112 1573564198 8,991738 0,200000 8,991738 8,991738 16,170271
115 1573564198 0,043225 0,200000 0,043225 0,043225 0,000374
112 1573564199 8,991738 0,200000 8,991738 8,991738 16,170271
115 1573564199 0,043225 0,200000 0,043225 0,043225 0,000374
112 1573564200 8,991738 0,200000 8,991738 8,991738 16,170271
115 1573564200 0,043225 0,200000 0,043225 0,043225 0,000374
112 1573564201 8,991738 0,200000 8,991738 8,991738 16,170271
115 1573564201 0,043225 0,200000 0,043225 0,043225 0,000374
97 1573564202 0,081364 0,200000 0,081364 0,081364 0,001324
97 1573564203 0,081364 0,200000 0,081364 0,081364 0,001324
97 1573564204 0,081364 0,200000 0,081364 0,081364 0,001324
97 1573564205 0,081364 0,200000 0,081364 0,081364 0,001324
97 1573564206 0,081364 0,200000 0,081364 0,081364 0,001324
112 1573564207 10,335577 0,200000 10,335577 10,335577 21,364831
115 1573564207 0,042863 0,200000 0,042863 0,042863 0,000367
112 1573564208 10,335577 0,200000 10,335577 10,335577 21,364831
115 1573564208 0,042863 0,200000 0,042863 0,042863 0,000367
112 1573564209 10,335577 0,200000 10,335577 10,335577 21,364831
115 1573564209 0,042863 0,200000 0,042863 0,042863 0,000367
112 1573564210 10,335577 0,200000 10,335577 10,335577 21,364831
115 1573564210 0,042863 0,200000 0,042863 0,042863 0,000367
112 1573564211 10,335577 0,200000 10,335577 10,335577 21,364831
115 1573564211 0,042863 0,200000 0,042863 0,042863 0,000367
97 1573564212 0,078663 0,200000 0,078663 0,078663 0,001238
97 1573564213 0,078663 0,200000 0,078663 0,078663 0,001238
97 1573564214 0,078663 0,200000 0,078663 0,078663 0,001238
97 1573564215 0,078663 0,200000 0,078663 0,078663 0,001238
97 1573564216 0,078663 0,200000 0,078663 0,078663 0,001238
112 1573564217 8,702796 0,200000 8,702796 8,702796 15,147730
115 1573564217 0,043014 0,200000 0,043014 0,043014 0,000370
112 1573564218 8,702796 0,200000 8,702796 8,702796 15,147730
115 1573564218 0,043014 0,200000 0,043014 0,043014 0,000370
112 1573564219 8,702796 0,200000 8,702796 8,702796 15,147730
115 1573564219 0,043014 0,200000 0,043014 0,043014 0,000370
112 1573564220 8,702796 0,200000 8,702796 8,702796 15,147730
115 1573564220 0,043014 0,200000 0,043014 0,043014 0,000370
112 1573564221 8,702796 0,200000 8,702796 8,702796 15,147730
115 1573564221 0,043014 0,200000 0,043014 0,043014 0,000370
91 1573564222 5,984763 0,200000 5,984763 5,984763 7,163479
119 1573564222 0,046532 0,200000 0,046532 0,046532 0,000433
94 1573564222 0,083582 0,200000 0,083582 0,083582 0,001397
119 1573564223 0,046532 0,200000 0,046532 0,046532 0,000433
91 1573564223 5,984763 0,200000 5,984763 5,984763 7,163479
94 1573564223 0,083582 0,200000 0,083582 0,083582 0,001397
91 1573564224 5,984763 0,200000 5,984763 5,984763 7,163479
119 1573564224 0,046532 0,200000 0,046532 0,046532 0,000433
94 1573564224 0,083582 0,200000 0,083582 0,083582 0,001397
91 1573564225 5,984763 0,200000 5,984763 5,984763 7,163479
119 1573564225 0,046532 0,200000 0,046532 0,046532 0,000433
94 1573564225 0,083582 0,200000 0,083582 0,083582 0,001397
91 1573564226 5,984763 0,200000 5,984763 5,984763 7,163479
119 1573564226 0,046532 0,200000 0,046532 0,046532 0,000433
94 1573564226 0,083582 0,200000 0,083582 0,083582 0,001397
122 1573564227 4,181510 0,200000 4,181510 4,181510 3,497006
112 1573564227 8,268677 0,200000 8,268677 8,268677 13,674205
115 1573564227 0,042431 0,200000 0,042431 0,042431 0,000360
